en	definition	pl	ja	ko	vi	zh	ta	hu	fr	no	uk	ru	de	es	sv	fi	cs	sr	pt	it	fa	sw	nl	st	hi	da	bg	hr	et	el	ga	lv	lt	mt	ro	sk	sl	sq	eu	bs	ca	gl	is	lb	mk	tr	cy
city 	 A large and densely populated urban area with buildings and infrastructure.	miasto	都市	도시	thành phố	城市	நகரம்	város	ville	by	місто	город	Stadt	ciudad	stad	kaupunki	město	grad	cidade	città	شهر	jiji	stad	toropo	शहर	by	град	grad	linn	πόλη	cathair	pilsēta	miestas	belt	oraș	mesto	mesto	qytet	hiri	grad	ciutat	cidade	borg	Stad	град	şehir	dinas
clock 	 A device that shows the time of day.	zegar	時計	시계	đồng hồ	钟	கடிகாரம்	óra	horloge	klokke	годинник	часы	Uhr	reloj	klocka	kello	hodiny	sat	relógio	orologio	ساعت	saa	klok	seolo	घड़ी	ur	часовник	sat	kell	ρολόι	clog	pulkstenis	laikrodis	arloġġ	ceas	hodiny	ura	orë	erloju	sat	rellotge	reloxo	klukka	Auer	часовник	saat	cloc
cloud 	 A visible mass of condensed water vapor in the sky.	chmura	雲	구름	mây	云	மேகம்	felhő	nuage	sky	хмара	облако	Wolke	nube	moln	pilvi	mrak	oblak	nuvem	nuvola	ابر	wingu	wolk	Leru	बादल	sky	облак	oblak	pilv	σύννεφο	scamall	mākonis	debesis	sħaba	nor	oblak	oblak	re	hodei	oblak	núvol	nube	ský	Wollecht	облак	bulut	cwmwl
coffee 	 A dark, caffeinated beverage made from roasted coffee beans.	kawa	コーヒー	커피	cà phê	咖啡	காபி	kávé	café	kaffe	кава	кофе	Kaffee	café	kaffe	kahvi	káva	kafa	café	caffè	قهوه	kahawa	koffie	Kofi	कॉफी	kaffe	кафе	kava	kohv	καφές	caife	kafija	kava	kafè	cafea	káva	kava	kafe	kafe	kafa	cafè	café	kaffi	Kaffi	кафе	kahve	coffi
computer 	 An electronic device that processes data and performs tasks based on programs.	komputer	コンピューター	컴퓨터	máy tính	电脑	கணினி	számítógép	ordinateur	datamaskin	комп'ютер	компьютер	Computer	computadora	dator	tietokone	počítač	računar	computador	computer	رایانه	kompyuta	computer	khomphutha	कंप्यूटर	computer	компютър	računalo	arvuti	υπολογιστής	ríomhaire	dators	kompiuteris	kompjuter	calculator	počítač	računalnik	kompjuter	ordenagailu	računar	ordinador	ordenador	tölva	Computer	компјутер	bilgisayar	cyfrifiadur
country 	 A distinct territory with its own government and defined borders.	kraj	国	나라	quốc gia	国家	நாடு	ország	pays	land	країна	страна	Land	país	land	maa	stát	zemlja	país	paese	کشور	nchi	land	Naha	देश	land	страна	zemlja	riik	χώρα	tír	valsts	šalis	pajjiż	țară	krajina	država	vend	herrialde	zemlja	país	país	land	Land	земја	ülke	gwlad
cup 	 A small, open container used for drinking liquids.	kubek	カップ	컵	cốc	杯子	கோப்பை	csésze	tasse	kopp	чашка	чашка	Tasse	taza	kopp	kuppi	hrnek	šolja	copo	tazza	فنجان	kikombe	beker	senoelo	कप	kop	чаша	šalica	tass	φλιτζάνι	cupán	krūze	puodelis	tazza	ceașcă	šálka	skodelica	filxhan	kopa	šoljica	tassa	cunca	bolli	Taass	чаша	fincan	cwpan
dance 	 A rhythmic movement of the body, often to music.	taniec	ダンス	춤	nhảy múa	舞蹈	ஆடல்	tánc	danse	dans	танець	танец	Tanz	baile	dans	tanssi	tanec	ples	dança	danza	رقص	cheza	dans	Bina	नृत्य	dans	танц	ples	tants	χορός	damhsa	deja	šokis	żifna	dans	tanec	ples	vallëzim	dantza	ples	ball	baile	dans	Danz	танц	dans	dawns
daughter 	 A female child in relation to her parents.	córka	娘	딸	con gái	女儿	மகள்	lány	fille	datter	дочка	дочь	Tochter	hija	dotter	tytär	dcera	ćerka	filha	figlia	دختر	binti	dochter	Moradi	बेटी	datter	дъщеря	kćer	tütar	κόρη	iníon	meita	dukra	bint	fiică	dcéra	hči	vajzë	alaba	kćerka	filla	filla	dóttir	Duechter	ќерка	kız	merch
door 	 A hinged or sliding barrier that allows access to a room or building.	drzwi	ドア	문	cửa	门	கதவு	ajtó	porte	dør	двері	дверь	Tür	puerta	dörr	ovi	dveře	vrata	porta	porta	در	mlango	deur	Lemati	दरवाज़ा	dør	врата	vrata	uks	πόρτα	doras	durvis	durys	bieb	ușă	dvere	vrata	derë	ate	vrata	porta	porta	hurð	Dier	врата	kapı	drws
dream 	 A sequence of thoughts, images, or emotions occurring during sleep.	sen	夢	꿈	giấc mơ	梦	கனவு	álom	rêve	drøm	сон	сон	Traum	sueño	dröm	uni	sen	san	sonho	sogno	خواب	ndoto	droom	Toro	सपना	drøm	мечта	san	unistus	όνειρο	brionglóid	sapnis	svajonė	ħolma	vis	sen	sanje	ëndërr	amets	san	somni	soño	draumur	Dreem	сон	rüya	breuddwyd
earth 	 The planet we live on, the third from the sun.	ziemia	地球	지구	trái đất	地球	பூமி	Föld	terre	Jorden	Земля	Земля	Erde	Tierra	jorden	maapallo	Země	Zemlja	Terra	terra	زمین	dunia	aarde	lefats'e	पृथ्वी	jord	земя	zemlja	maa	γη	talamh	zeme	žemė	art	pământ	zem	zemlja	tokë	lur	zemlja	terra	terra	jörð	Äerd	земја	dünya	daear
egg 	 A round or oval object laid by birds and reptiles, often used as food.	jajko	卵	달걀	trứng	蛋	முட்டை	tojás	œuf	egg	яйце	яйцо	Ei	huevo	ägg	muna	vejce	јаје	ovo	uovo	تخم‌مرغ	yai	ei	Lehe	अंडा	æg	яйце	jaje	muna	αυγό	ubh	ola	kiaušinis	bajda	ou	vajce	jajce	vezë	arrautza	jaje	ou	ovo	egg	Ee	јајце	yumurta	wy
elephant 	 A large, gray, herbivorous mammal with a trunk and tusks.	słoń	象	코끼리	voi	大象	யானை	elefánt	éléphant	elefant	слон	слон	Elefant	elefante	elefant	elefantti	slon	slon	elefante	elefante	فیل	tembo	olifant	Tlou	हाथी	elefant	слон	slon	elevant	ελέφαντας	eilifint	zilonis	dramblys	iljunfant	elefant	slon	slon	elefant	elefante	slon	elefant	elefante	fíll	Eléfant	слон	fil	eliffant
engine 	 A machine that converts energy into mechanical motion.	silnik	エンジン	엔진	động cơ	发动机	இயந்திரம்	motor	moteur	motor	двигун	двигатель	Motor	motor	motor	moottori	motor	motor	motor	motore	موتور	injini	motor	Enjene	इंजन	motor	двигател	motor	mootor	μηχανή	inneall	motors	variklis	magna	motor	motor	motor	motor	motor	motor	motor	motor	véll	Motor	мотор	motor	peiriant
evening 	 The time of day between afternoon and night.	wieczór	夕方	저녁	buổi tối	晚上	மாலை	este	soir	kveld	вечір	вечер	Abend	tarde	kväll	ilta	večer	veče	crepúsculo	sera	عصر	jioni	avond	mantsiboea	शाम	aften	вечер	večer	õhtu	βράδυ	tráthnóna	vakars	vakaras	filgħaxija	seară	večer	večer	mbrëmje	arratsalde	večer	vespre	serán	kvöld	Owend	вечер	akşam	hwyr
family 	 A group of related individuals, usually consisting of parents and children.	rodzina	家族	가족	gia đình	家庭	குடும்பம்	család	famille	familie	сім'я	семья	Familie	familia	familj	perhe	rodina	porodica	família	famiglia	خانواده	familia	familie	Lelapa	परिवार	familie	семейство	obitelj	perekond	οικογένεια	teaghlach	ģimene	šeima	familja	familie	rodina	družina	familje	familia	porodica	família	familia	fjölskylda	Famill	семејство	aile	teulu
feather 	 A light, flat structure that covers the bodies of birds and helps them fly.	pióro	羽	깃털	lông vũ	羽毛	இறகு	toll	plume	fjær	перо	перо	Feder	pluma	fjäder	sulka	peří	pero	pena	piuma	پر	unyoya	veer	Lesiba	पंख	fjer	перо	pero	sulg	φτερό	cleite	spalva	plunksna	rixa	pană	pero	pero	pupël	luma	pero	ploma	pluma	fjaðir	Feder	перо	tüy	pluen
field 	 A large, open area of land used for agriculture or sports.	pole	畑	들판	cánh đồng	田野	புலம்	mező	champ	åker	поле	поле	Feld	campo	fält	pelto	pole	polje	campo	campo	زمین	shamba	veld	Tšimo	मैदान	mark	поле	polje	põld	χωράφι	páirc	lauks	laukas	għalqa	câmp	pole	polje	fushë	soro	polje	camp	campo	akur	Feld	поле	tarla	cae
fire 	 A combustion process producing heat, light, and flames.	ogień	火	불	lửa	火	தீ	tűz	feu	ild	вогонь	огонь	Feuer	fuego	eld	tuli	oheň	vatra	fogo	fuoco	آتش	moto	vuur	Mollo	आग	ild	огън	vatra	tuli	φωτιά	tine	uguns	ugnis	nar	foc	oheň	ogenj	zjarr	su	vatra	foc	lume	eldur	Feier	оган	ateş	tân
fish 	 An aquatic animal with gills and fins.	ryba	魚	물고기	cá	鱼	மீன்	hal	poisson	fisk	риба	рыба	Fisch	pez	fisk	kala	ryba	riba	peixe	pesce	ماهی	samaki	vis	Tlhapi	मछली	fisk	риба	riba	kala	ψάρι	iasc	zivs	žuvis	ħut	pește	ryba	riba	peshk	arrain	riba	peix	peixe	fiskur	Fësch	риба	balık	pysgodyn
flower 	 A reproductive structure in plants, often colorful and fragrant.	kwiat	花	꽃	hoa	花	மலர்	virág	fleur	blomst	квітка	цветок	Blume	flor	blomma	kukka	květina	cvet	flor	fiore	گل	ua	bloem	Palesa	फूल	blomst	цвете	cvijet	lill	λουλούδι	bláth	zieds	gėlė	fjuri	floare	kvet	roža	lule	lore	cvijet	flor	flor	blóm	Blumm	цвет	çiçek	blodyn
forest 	 A large area covered with trees and vegetation.	las	森	숲	rừng	森林	காடு	erdő	forêt	skog	ліс	лес	Wald	bosque	skog	metsä	les	šuma	floresta	foresta	جنگل	msitu	bos	Moru	जंगल	skov	гора	šuma	mets	δάσος	foraois	mežs	miškas	foresta	pădure	les	gozd	pyll	baso	šuma	bosc	bosque	skógur	Bësch	шума	orman	coedwig
friend 	 A person with whom one has a mutual bond of affection.	przyjaciel	友達	친구	bạn bè	朋友	நண்பர்	barát	ami	venn	друг	друг	Freund	amigo	vän	ystävä	přítel	prijatelj	amigo	amico	دوست	rafiki	vriend	Motsoalle	दोस्त	ven	приятел	prijatelj	sõber	φίλος	cara	draugs	draugas	ħabib	prieten	priateľ	prijatelj	mik	lagun	prijatelj	amic	amigo	vinur	Frënd	пријател	arkadaş	ffrind
game 	 A structured activity with rules, often for entertainment or competition.	gra	ゲーム	게임	trò chơi	游戏	விளையாட்டு	játék	jeu	spill	гра	игра	Spiel	juego	spel	peli	hra	igra	jogo	gioco	بازی	mchezo	spel	Papadi	खेल	spil	игра	igra	mäng	παιχνίδι	cluiche	spēle	žaidimas	logħba	joc	hra	igra	lojë	joko	igra	joc	xogo	leikur	Spill	игра	oyun	gêm
garden 	 An outdoor area with plants, flowers, and trees, often cultivated.	ogród	庭	정원	vườn	花园	தோட்டம்	kert	jardin	hage	сад	сад	Garten	jardín	trädgård	puutarha	zahrada	bašta	jardim	giardino	باغ	bustani	tuin	Serapa	बगीचा	have	градина	vrt	aed	κήπος	gairdín	dārzs	sodas	ġnien	grădină	záhrada	vrt	kopsht	lorategi	vrt	jardí	xardín	garður	Gaart	градина	bahçe	gardd
glass 	 A hard, transparent material used in windows and containers.	szkło	ガラス	유리	kính	玻璃	கண்ணாடி	üveg	verre	glass	скло	стекло	Glas	vidrio	glas	lasi	sklo	staklo	vidro	vetro	شیشه	kioo	glas	Khalase	कांच	glas	стъкло	staklo	klaas	ποτήρι	gloine	stikls	stiklas	tazza	pahar	sklo	steklo	gotë	beira	staklo	got	vaso	glas	Glas	стакло	bardak	gwydr
guitar 	 A musical instrument with strings played by plucking or strumming.	gitara	ギター	기타	đàn guitar	吉他	கிதார்	gitár	guitare	gitar	гітара	гитара	Gitarre	guitarra	gitarr	kitara	kytara	gitara	guitarra	chitarra	گیتار	gitaa	gitaar	Katara	गिटार	guitar	китара	gitara	kitarr	κιθάρα	giotár	ģitāra	gitara	kitarra	chitară	gitara	kitara	kitarë	gitarra	gitara	guitarra	guitarra	gítar	Gittar	гитара	gitar	gitâr
hat 	 A head covering worn for protection or fashion.	kapelusz	帽子	모자	mũ	帽子	தொப்பி	kalap	chapeau	hatt	капелюх	шляпа	Hut	sombrero	hatt	hattu	čepice	šešir	chapéu	cappello	کلاه	kofia	hoed	Katiba	टोपी	hat	шапка	šešir	müts	καπέλο	hata	cepure	kepurė	kappell	pălărie	klobúk	klobuk	kapelë	txapel	šešir	barret	chapeu	hattur	Hut	шапка	şapka	het
history 	 The study and record of past events.	historia	歴史	역사	lịch sử	历史	வரலாறு	történelem	histoire	historie	історія	история	Geschichte	historia	historia	historia	historie	istorija	história	storia	تاریخ	historia	geschiedenis	Nalane	इतिहास	historie	история	povijest	ajalugu	ιστορία	stair	vēsture	istorija	storja	istorie	história	zgodovina	histori	historia	istorija	història	historia	saga	Geschicht	историја	tarih	hanes
holiday 	 A special day for celebration or relaxation, often official.	święto	休日	휴일	ngày lễ	假期	விடுமுறை	ünnepnap	fête	ferie	свято	праздник	Feiertag	feriado	helgdag	loma	svátek	praznik	feriado	vacanza	تعطیلات	sikukuu	feestdag	matsatsi a phomolo	छुट्टी	helligdag	празник	praznik	puhkus	διακοπές	saoire	svētki	šventė	vaganza	vacanță	dovolenka	počitnice	pushime	opor	odmor	vacances	vacacións	frí	Vakanz	одмор	tatil	gwyliau
horse 	 A large, four-legged animal used for riding or work.	koń	馬	말	ngựa	马	குதிரை	ló	cheval	hest	кінь	лошадь	Pferd	caballo	häst	hevonen	kůň	konj	cavalo	cavallo	اسب	farasi	paard	Pere	घोड़ा	hest	кон	konj	hobune	άλογο	capall	zirgs	arklys	żiemel	cal	kôň	konj	kalë	zaldi	konj	cavall	cabalo	hestur	Päerd	коњ	at	ceffyl
house 	 A building where people live.	dom	家	집	nhà	房子	வீடு	ház	maison	hus	дім	дом	Haus	casa	hus	talo	dům	kuća	casa	casa	خانه	nyumba	huis	Ntlo	घर	hus	къща	kuća	maja	σπίτι	teach	māja	namas	dar	casă	dom	hiša	shtëpi	etxe	kuća	casa	casa	hús	Haus	куќа	ev	tŷ
ice 	 Frozen water in a solid state.	lód	氷	얼음	băng	冰	பனி	jég	glace	is	лід	лёд	Eis	hielo	is	jää	led	led	gelo	ghiaccio	یخ	barafu	ijs	Leqhoa	बर्फ	is	лед	led	jää	πάγος	oighear	ledus	ledas	silġ	gheață	ľad	led	akull	izotz	led	gel	xeo	ís	Äis	мраз	buz	iâ
island 	 A piece of land surrounded by water.	wyspa	島	섬	đảo	岛	தீவு	sziget	île	øy	острів	остров	Insel	isla	ö	saari	ostrov	ostrvo	ilha	isola	جزیره	kisiwa	eiland	Sehlakehlake	द्वीप	ø	остров	otok	saar	νησί	oileán	sala	sala	gżira	insulă	ostrov	otok	ishull	uharte	ostrvo	illa	illa	eyja	Insel	остров	ada	ynys
jacket 	 A short coat worn for warmth or style.	kurtka	ジャケット	재킷	áo khoác	夹克	ஜாக்கெட்	dzseki	veste	jakke	куртка	куртка	Jacke	chaqueta	jacka	takki	bunda	jakna	casaco	giacca	ژاکت	jaketi	jas	Jase	जैकेट	jakke	яке	jakna	jope	μπουφάν	casóg	jaka	striukė	ġakketta	jachetă	bunda	jakna	xhaketë	jaka	jakna	jaqueta	chaqueta	jakki	Jacket	јакна	ceket	siaced
job 	 A paid position of employment.	praca	仕事	직업	công việc	工作	வேலை	állás	emploi	jobb	робота	работа	Beruf	trabajo	jobb	työ	práce	posao	emprego	lavoro	شغل	kazi	baan	Mosebetsi	नौकरी	arbejde	работа	posao	töö	δουλειά	post	darbs	darbas	xogħol	serviciu	práca	delo	punë	lan	posao	feina	traballo	starf	Aarbecht	работа	iş	swydd
journey 	 A trip from one place to another.	podróż	旅	여행	chuyến đi	旅行	பயணம்	utazás	voyage	reise	подорож	путешествие	Reise	viaje	resa	matka	cesta	putovanje	viagem	viaggio	سفر	safari	reis	Loeto	यात्रा	rejse	пътуване	putovanje	teekond	ταξίδι	turas	ceļojums	kelionė	vjaġġ	călătorie	cesta	potovanje	udhëtim	bidai	putovanje	viatge	viaxe	ferð	Rees	патување	yolculuk	taith
key 	 A small metal object used to lock or unlock something.	klucz	鍵	열쇠	chìa khóa	钥匙	சாவி	kulcs	clé	nøkkel	ключ	ключ	Schlüssel	llave	nyckel	avain	klíč	ključ	chave	chiave	کلید	ufunguo	sleutel	Senotlolo	चाबी	nøgle	ключ	ključ	võti	κλειδί	eochair	atslēga	raktas	ċavetta	cheie	kľúč	ključ	çelës	gako	ključ	clau	chave	lykill	Schlëssel	клуч	anahtar	allwedd
king 	 A male ruler of a country or territory, often hereditary.	król	王	왕	vua	国王	அரசன்	király	roi	konge	король	король	König	rey	kung	kuningas	král	kralj	rei	re	پادشاه	mfalme	koning	Morena	राजा	konge	крал	kralj	kuningas	βασιλιάς	rí	karalis	karalius	re	rege	kráľ	kralj	mbret	errege	kralj	rei	rei	konungur	Kinnek	крал	kral	brenin
kitchen 	 A room used for cooking and preparing food.	kuchnia	台所	부엌	nhà bếp	厨房	சமையலறை	konyha	cuisine	kjøkken	кухня	кухня	Küche	cocina	kök	keittiö	kuchyně	kuhinja	cozinha	cucina	آشپزخانه	jikoni	keuken	Kichine	रसोई	køkken	кухня	kuhinja	köök	κουζίνα	cistin	virtuve	virtuvė	kċina	bucătărie	kuchyňa	kuhinja	kuzhinë	sukalde	kuhinja	cuina	cociña	eldhús	Kichen	кујна	mutfak	cegin
knowledge 	 Information, awareness, or understanding acquired through learning.	wiedza	知識	지식	kiến thức	知识	அறிவு	tudás	connaissance	kunnskap	знання	знания	Wissen	conocimiento	kunskap	tieto	vědomosti	znanje	conhecimento	conoscenza	دانش	maarifa	kennis	Tsebo	ज्ञान	viden	знание	znanje	teadmine	γνώση	eolas	zināšanas	žinios	għarfien	cunoaștere	vedomosti	znanje	njohuri	ezagutza	znanje	coneixement	coñecemento	þekking	Wëssen	знаење	bilgi	gwybodaeth
lake 	 A large body of water surrounded by land.	jezioro	湖	호수	hồ	湖	ஏரி	tó	lac	innsjø	озеро	озеро	See	lago	sjö	järvi	jezero	jezero	lago	lago	دریاچه	ziwa	meer	Letša	झील	sø	езеро	jezero	järv	λίμνη	loch	ezers	ežeras	lag	lac	jazero	jezero	liqen	aintzira	jezero	llac	lago	vatn	See	езеро	göl	llyn
lamp 	 A device that produces light.	lampa	ランプ	램프	đèn	灯	விளக்கு	lámpa	lampe	lampe	лампа	лампа	Lampe	lámpara	lampa	lamppu	lampa	lampa	candeeiro	lampada	لامپ	taa	lamp	Lebone	दीपक	lampe	лампа	lampa	lamp	λάμπα	lampa	lampa	lempa	lampa	lampă	lampa	svetilka	llambë	lanpara	lampa	llàntia	lámpada	lampi	Lampe	ламба	lamba	lamp
language 	 A system of words and grammar used for communication.	język	言語	언어	ngôn ngữ	语言	மொழி	nyelv	langue	språk	мова	язык	Sprache	idioma	språk	kieli	jazyk	jezik	língua	lingua	زبان	lugha	taal	Puo	भाषा	sprog	език	jezik	keel	γλώσσα	teanga	valoda	kalba	lingwa	limbă	jazyk	jezik	gjuhë	hizkuntza	jezik	idioma	lingua	tungumál	Sprooch	јазик	dil	iaith
library 	 A building or room containing books for reading or borrowing.	biblioteka	図書館	도서관	thư viện	图书馆	நூலகம்	könyvtár	bibliothèque	bibliotek	бібліотека	библиотека	Bibliothek	biblioteca	bibliotek	kirjasto	knihovna	biblioteka	biblioteca	biblioteca	کتابخانه	maktaba	bibliotheek	Laeborari	पुस्तकालय	bibliotek	библиотека	knjižnica	raamatukogu	βιβλιοθήκη	leabharlann	bibliotēka	biblioteka	librerija	bibliotecă	knižnica	knjižnica	bibliotekë	liburutegi	biblioteka	biblioteca	biblioteca	bókasafn	Bibliothéik	библиотека	kütüphane	llyfrgell
light 	 The natural or artificial illumination that makes things visible.	światło	光	빛	ánh sáng	光	ஒளி	fény	lumière	lys	світло	свет	Licht	luz	ljus	valo	světlo	svetlost	luz	luce	نور	mwanga	licht	Leseli	प्रकाश	lys	светлина	svjetlost	valgus	φως	solas	gaisma	šviesa	dawl	lumină	svetlo	svetloba	dritë	argi	svjetlost	llum	luz	ljós	Liicht	светлина	ışık	golau
lion 	 A large, carnivorous feline known for its mane.	lew	ライオン	사자	sư tử	狮子	சிங்கம்	oroszlán	lion	løve	лев	лев	Löwe	león	lejon	leijona	lev	lav	leão	leone	شیر	simba	leeuw	Tau	शेर	løve	лъв	lav	lõvi	λιοντάρι	leon	lauva	liūtas	ljun	leu	lev	lev	luan	lehoi	lav	lleó	león	ljón	Léiw	лав	aslan	llew
love 	 A deep feeling of affection or attachment.	miłość	愛	사랑	tình yêu	爱	காதல்	szeretet	amour	kjærlighet	кохання	любовь	Liebe	amor	kärlek	rakkaus	láska	ljubav	amor	amore	عشق	upendo	liefde	Lerato	प्रेम	kærlighed	любов	ljubav	armastus	αγάπη	grá	mīlestība	meilė	imħabba	iubire	láska	ljubezen	dashuri	maitasun	ljubav	amor	amor	ást	Léift	љубов	aşk	cariad
machine 	 A device with moving parts that performs a function.	maszyna	機械	기계	máy móc	机器	இயந்திரம்	gép	machine	maskin	машина	машина	Maschine	máquina	maskin	kone	stroj	mašina	máquina	macchina	ماشین	mashine	machine	Mochini	यंत्र	maskine	машина	stroj	masin	μηχανή	meaisín	mašīna	mašina	magna	mașinărie	stroj	stroj	makinë	makina	mašina	màquina	máquina	vél	Maschinn	машина	makine	peiriant
market 	 A place where goods are bought and sold.	targ	市場	시장	chợ	市场	சந்தை	piac	marché	marked	ринок	рынок	Markt	mercado	marknad	tori	trh	pijaca	mercado	mercato	بازار	soko	markt	mmaraka	बाजार	marked	пазар	tržnica	turg	αγορά	margadh	tirgus	turgus	suq	piață	trh	tržnica	treg	merkatu	tržnica	mercat	mercado	markaður	Maart	пазар	pazar	marchnad
medicine 	 A substance used to treat or prevent illness.	lekarstwo	薬	약	thuốc	药	மருந்து	gyógyszer	médicament	medisin	ліки	лекарство	Medizin	medicina	medicin	lääke	lék	lek	medicamento	medicinale	دارو	dawa	medicijn	Moriane	दवा	medicin	медицина	medicina	meditsiin	ιατρική	leigheas	medicīna	medicina	mediċina	medicină	medicína	medicina	mjekësi	medikuntza	medicina	medicina	medicina	lyf	Medezin	медицина	tıp	meddygaeth
mirror 	 A reflective surface that shows an image.	lustro	鏡	거울	gương	镜子	கண்ணாடி	tükör	miroir	speil	дзеркало	зеркало	Spiegel	espejo	spegel	peili	zrcadlo	ogledalo	espelho	specchio	آینه	kioo	spiegel	Seipone	दर्पण	spejl	огледало	ogledalo	peegel	καθρέφτης	scáthán	spogulis	veidrodis	mera	oglindă	zrkadlo	ogledalo	pasqyrë	ispilu	ogledalo	mirall	espello	spegill	Spigel	огледало	ayna	drych
money 	 A medium of exchange in the form of coins or banknotes.	pieniądze	お金	돈	tiền	钱	பணம்	pénz	argent	penger	гроші	деньги	Geld	dinero	pengar	raha	peníze	novac	dinheiro	denaro	پول	pesa	geld	Chelete	पैसा	penge	пари	novac	raha	χρήματα	airgead	nauda	pinigai	flus	bani	peniaze	denar	para	diru	novac	diners	diñeiro	peningar	Geld	пари	para	arian
